Company,Ticker,Market Cap,Price
APPLE INC,AAPL,2062000,123.54
MICROSOFT CORP.,MSFT,1851000,245.71
"AMAZON.COM, INC.",AMZN,1607000,3187.01
ALPHABET INC (GOOGLE) CLASS C,GOOG,1594000,2404.61
ALPHABET INC (GOOGLE) CLASS A,GOOGL,1590000,2347.58
"FACEBOOK, INC.",FB,924475,326.04
BERKSHIRE HATHAWAY INC. NEW,BRK.B,667121,291.97
"TESLA, INC.",TSLA,551834,572.84
JP MORGAN CHASE & CO.,JPM,503018,166.17
VISA INC.,V,486512,228.11
JOHNSON & JOHNSON,JNJ,437249,166.04
NVIDIA CORPORATION,NVDA,422886,678.79
WALMART INC.,WMT,398389,141.60
UNITEDHEALTH GROUP INCORPORATED,UNH,384993,407.96
BANK OF AMERICA CORPORATION,BAC,370623,43.25
MASTERCARD INCORPORATED,MA,358581,361.82
PROCTER & GAMBLE COMPANY (THE),PG,332592,135.85
"HOME DEPOT, INC. (THE)",HD,331131,311.43
WALT DISNEY COMPANY (THE),DIS,320216,176.24
"PAYPAL HOLDINGS, INC.",PYPL,302833,257.79
COMCAST CORPORATION,CMCSA,259072,56.39
EXXON MOBIL CORPORATION,XOM,259008,61.18
COCA-COLA COMPANY (THE),KO,239902,55.64
VERIZON COMMUNICATIONS INC.,VZ,235901,56.98
ADOBE INC.,ADBE,235721,493.14
ORACLE CORPORATION,ORCL,233826,81.09
INTEL CORPORATION,INTC,227097,56.24
"CISCO SYSTEMS, INC.",CSCO,224744,53.33
"PFIZER, INC.",PFE,218142,38.97
"NETFLIX, INC.",NFLX,217015,489.43
SALESFORCE.COM INC,CRM,212888,230.84
"NIKE, INC.",NKE,211983,134.17
AT&T INC.,T,208702,29.23
CHEVRON CORPORATION,CVX,207946,107.59
"PEPSICO, INC.",PEP,204025,147.67
ABBVIE INC.,ABBV,198188,112.21
ELI LILLY AND COMPANY,LLY,194394,202.70
ABBOTT LABORATORIES,ABT,194029,109.20
WELLS FARGO & COMPANY,WFC,192046,46.46
BROADCOM INC.,AVGO,189779,464.80
"MERCK & COMPANY, INC.",MRK,187144,73.91
ACCENTURE PLC,ACN,185986,279.63
"UNITED PARCEL SERVICE, INC.",UPS,184536,211.98
"T-MOBILE US, INC.",TMUS,177453,142.32
THERMO FISHER SCIENTIFIC INC,TMO,175027,445.33
MORGAN STANLEY,MS,173686,93.35
MCDONALD'S CORPORATION,MCD,173448,232.45
DANAHER CORPORATION,DHR,171907,241.01
TEXAS INSTRUMENTS INCORPORATED,TXN,171775,186.00
COSTCO WHOLESALE CORPORATION,COST,169875,383.87
